First Name,Last Name,White,Black,Asian,Other,Prediction,Confidence,Ground_Truth
Randy,Arozarena,1.98e-07,0.998559535,7.36e-07,8.81e-07,Black,0.998559535,Black
Ray,Kerr,0.004349896,0.126318023,0.000419022,0.001671892,Other,0.690163314,Other
Raynel,Espinal,0.028336398,0.030995796,0.009663313,0.00254737,Other,0.888776898,Other
Reed,Garrett,0.998202801,4.26e-07,9.19e-06,0.000426255,White,0.998202801,White
Reese,McGuire,0.9435063,8.78e-06,0.000149511,0.023721633,White,0.9435063,White
Reid,Detmers,0.999295712,1.28e-06,5.61e-06,0.000241327,White,0.999295712,White
Reiss,Knehr,0.996426642,2.11e-06,9.44e-06,0.001629983,White,0.996426642,White
Reiver,Sanmartin,3.25e-07,0.999920726,1.05e-06,1.18e-07,Black,0.999920726,Black
Reyes,Moronta,0.003400824,0.000982921,3.71e-05,0.015873687,Asian,0.901883125,Other
Rhys,Hoskins,0.999031901,3.88e-07,2.95e-06,0.000189672,White,0.999031901,White
Rich,Hill,0.995733559,3.68e-07,2.34e-05,0.001397269,White,0.995733559,White
Richard,Bleier,0.443071038,6.99e-05,0.000106647,0.213256493,White,0.443071038,White
Richie,Martin,0.00203885,0.642656267,0.001032053,0.000172875,Black,0.642656267,Black
Richie,Palacios,0.013149977,0.536548495,0.000207886,0.002507209,Black,0.536548495,Black
Rico,Garcia,0.022504719,0.00234895,0.015057141,0.000523914,Other,0.80082351,Other
Riley,Adams,0.963454664,2.82e-05,6.48e-05,0.004063516,White,0.963454664,White
Riley,Greene,0.074959017,0.000677599,0.000476204,0.089821652,Other,0.773580194,White
Riley,O'Brien,0.004763059,6.19e-06,0.000139442,2.52e-05,Asian,0.812662065,White
Roansy,Contreras,3.98e-05,0.99645716,5.84e-05,3.6e-05,Black,0.99645716,Black
Rob,Brantly,0.985236406,5.1e-06,0.000165747,0.006720542,White,0.985236406,White
Rob,Refsnyder,0.00093556,4.72e-05,0.000371827,4.8e-06,Asian,0.646251559,Asian
Rob,Zastryzny,0.996483803,1.36e-06,3.03e-06,0.000402422,White,0.996483803,White
Robbie,Erlin,0.99936825,1.12e-07,1.22e-06,0.000129294,White,0.99936825,White
Robbie,Grossman,0.999759138,4.66e-08,1.07e-06,6.92e-05,White,0.999759138,White
Robbie,Ray,0.927555799,1.11e-05,9.51e-05,0.026362052,White,0.927555799,White
Robert,Dugger,0.126160473,0.000778031,0.002616838,0.002469957,Other,0.847223043,White
Robert,Gsellman,0.833724976,2.21e-05,0.000121482,0.020162046,White,0.833724976,White
Robert,Stephenson,0.211727396,4.61e-05,0.000724485,0.000400477,Other,0.601108909,White
Robert,Suarez,0.025420507,0.000591444,0.016417501,0.010568493,Other,0.668391883,Other
Robinson,Chirinos,0.045511436,0.001216014,0.000625609,0.006908837,Other,0.929463625,Other
Rodolfo,Castro,1.24e-05,0.998759985,1.41e-05,2.05e-06,Black,0.998759985,Black
Roman,Quinn,2.33e-07,0.999966145,3.27e-07,2.44e-08,Black,0.999966145,Black
Ron,Marinaccio,0.925278187,9.9e-06,0.000100639,0.007997071,White,0.925278187,White
Ronel,Blanco,0.001209579,0.655912817,0.000146394,0.001225898,Black,0.655912817,Black
Ronnie,Dawson,8.29e-06,0.998721659,5.86e-05,1.92e-06,Black,0.998721659,Black
Ronny,Henriquez,0.009589646,0.168105692,0.00023224,0.000962119,Other,0.811407149,Other
Ross,Detwiler,0.997678339,1.5e-07,3.9e-06,0.00087266,White,0.997678339,White
Ross,Stripling,0.988202631,1.04e-06,3.8e-06,0.001337877,White,0.988202631,White
Rougned,Odor,0.014786564,0.001812108,0.000141364,0.129997492,Asian,0.695000887,Other
Rowan,Wick,0.996904194,3.78e-07,8.6e-06,0.000252397,White,0.996904194,White
Rowdy,Tellez,0.922055066,0.000146738,3.48e-05,0.034390159,White,0.922055066,White
Royce,Lewis,0.698614359,7.01e-05,2e-05,0.035393968,White,0.698614359,White
Ryan,Aguilar,0.289367408,0.000638752,0.00123083,0.004475236,Other,0.701251566,Other
Ryan,Borucki,0.998877347,8.03e-07,1.07e-05,0.000300067,White,0.998877347,White
Ryan,Brasier,0.998354554,5.33e-07,9.67e-07,0.000319522,White,0.998354554,White
Ryan,Burr,0.999963284,2.95e-08,1.61e-07,1.26e-05,White,0.999963284,White
Ryan,Castellani,0.999556601,1.94e-08,5.96e-07,0.000172477,White,0.999556601,White
Ryan,Feltner,0.539408505,0.000295866,0.000287907,0.003542228,White,0.539408505,White
Ryan,Helsley,0.733086765,3.85e-05,3.24e-05,0.005180085,White,0.733086765,White
Ryan,Hendrix,0.882460713,6.85e-05,4.31e-05,0.044270899,White,0.882460713,White
Ryan,Jeffers,0.999456823,1.34e-08,3.4e-07,5.93e-05,White,0.999456823,White
Ryan,Kreidler,0.640372992,5.43e-05,0.000733688,0.103370629,White,0.640372992,White
Ryan,McKenna,0.498518467,0.000179629,0.000119752,0.026157066,White,0.498518467,White
Ryan,McMahon,0.996400118,3.87e-07,3.6e-06,0.000386875,White,0.996400118,White
Ryan,Mountcastle,0.998707891,2.97e-07,2.54e-06,0.000382528,White,0.998707891,White
Ryan,O'Hearn,0.991059124,2.65e-06,2.49e-05,0.001377551,White,0.991059124,White
Ryan,Pepiot,0.99911207,1.35e-07,2.26e-06,0.00039997,White,0.99911207,White
Ryan,Pressly,0.999549568,1.09e-07,9.96e-07,0.000146238,White,0.999549568,White
Ryan,Tepera,0.32249257,0.002248986,0.006319316,0.173236519,White,0.32249257,White
Ryan,Thompson,0.312944114,2.74e-06,4.35e-06,0.007601852,Other,0.678956687,White
Ryan,Weathers,0.999757111,3.85e-08,2.3e-07,0.000106444,White,0.999757111,White
Ryan,Weber,0.998668432,4.54e-07,5.03e-06,0.000296371,White,0.998668432,White
Ryan,Yarbrough,0.99919337,1.49e-07,1.35e-06,5.09e-05,White,0.99919337,White
Rylan,Bannon,0.999825299,1.14e-07,1.73e-06,4.67e-05,White,0.999825299,White
Ryne,Nelson,0.999435604,8.31e-08,5.09e-07,0.000186679,White,0.999435604,White
Ryne,Stanek,0.999732196,3.02e-08,6.92e-07,6.44e-05,White,0.999732196,White
Salvador,Perez,0.001709883,0.361548483,0.019970691,0.000131301,Asian,0.509104311,Other
Sam,Clay,0.999081254,1.27e-06,7.23e-07,0.000117338,White,0.999081254,White
Sam,Coonrod,0.999697924,6.57e-07,2.53e-06,0.00012147,White,0.999697924,White
Sam,Haggerty,0.264300674,0.000254921,0.001106602,0.006212009,Other,0.725663483,White
Sam,Hentges,0.951764762,3.41e-05,4.83e-05,0.002996416,White,0.951764762,White
Sam,Hilliard,0.991828322,1.2e-06,1.38e-05,0.001934779,White,0.991828322,White
Sam,Howard,0.964728653,0.001439326,0.000247533,0.001142591,White,0.964728653,White
Sam,Huff,0.992679715,1.33e-06,2.17e-05,0.002251499,White,0.992679715,White
