Name,Ethnicity
Bella Shepard,Not found
Jacob Tremblay,Chilean
Sam Neill,White
Maika Monroe,White
Rhea Seehorn,Bohemian
Willem Dafoe,White
Krysten Ritter,White
Brandon Cronenberg,Not found
Michelle Forbes,Mexican
Tom Ellis,White
Tatiana Zappardino,Not found
Scott Seiss,Not found
Jenna Dewan,Not found
Dorothy Atkinson,Not found
Jessica Tuck,Not found
Tom Felton,White
Rachael Leigh Cook,Not found
Jenny Agutter,Not found
Jason Isaacs,White
Caitlin FitzGerald,Not found
Katherine McNamara,White
Andrew Garfield,Not found
Albrecht Schuch,Not found
Tyler Hoechlin,Not found
Missy Peregrym,Rusyn
Matt Dillon,Not found
Fivel Stewart,Not found
Shiri Appleby,White
Maggie Grace,White
Gabriel Macht,White
Sean Penn,Not found
Jolene Blalock,White
Jennifer Ehle,White
Christine Taylor,Not found
