First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Filler,Image
Timothee, Chalamet,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Timothee_ Chalamet.jpg
Kelly, Macdonald,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Kelly_ Macdonald.jpg
Tracy, Spiridakos,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Tracy_ Spiridakos.jpg
Juno, Temple,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Juno_ Temple.jpg
Paul, Mescal,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Paul_ Mescal.jpg
Holliday, Grainger,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Holliday_ Grainger.jpg
Brianne, Howey,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Brianne_ Howey.jpg
Kevin, Costner,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Kevin_ Costner.jpg
Tamzin, Merchant,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Tamzin_ Merchant.jpg
Ben, Barnes,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ben_ Barnes.jpg
Viola, Davis,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Viola_ Davis.jpg
Lauren, Ash,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Lauren_ Ash.jpg
Kelsey, Asbille,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Kelsey_ Asbille.jpg
Jason, Statham,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jason_ Statham.jpg
Mary, Elizabeth Winstead,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Mary_ Elizabeth Winstead.jpg
Luke, Grimes,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Luke_ Grimes.jpg
Jay, Hernandez,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Jay_ Hernandez.jpg
Elizabeth, Debicki,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Elizabeth_ Debicki.jpg
Karla, Crome,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Karla_ Crome.jpg
Molly, Ringwald,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Molly_ Ringwald.jpg
Ke, Huy Quan,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Ke_ Huy Quan.jpg
Mel, Gibson,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Mel_ Gibson.jpg
Liam, Neeson,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Liam_ Neeson.jpg
Charlbi, Dean,,,,,,,C:\Users\2alex\OneDrive\Documents\GitHub\Ethnicity-Inference-2022\ImDB Webcrawling\ImDB Photos/Charlbi_ Dean.jpg
