script,id,firstName,lastName,raceEthnicityAlt,raceEthnicity,score,raceEthnicitiesTop,probabilityCalibrated,probabilityAltCalibrated
LATIN,0e2354c9-8aa5-4d6a-83f8-cf3ce35501dd,Austin,Riley,W_NL,B_NL,0.9744289967149893,"['B_NL', 'W_NL', 'HL', 'A']",0.4612782128489697,0.9351144821957413
LATIN,baeb450a-8b24-4895-bac5-64af74d88d8e,Andrew,Kittredge,B_NL,W_NL,9.333441034604986,"['W_NL', 'B_NL', 'A', 'HL']",0.7900850621590896,0.9040191488758711
LATIN,3ad7f9c5-4b71-40b6-ae81-10e65893ae4f,Johan,Camargo,A,HL,25.024602919111715,"['HL', 'A', 'W_NL', 'B_NL']",0.9425509365728919,0.9719978257751138
LATIN,e0664ea0-e607-47df-8c1b-712c60b8a514,Colin,Moran,HL,W_NL,5.067458624943686,"['W_NL', 'HL', 'A', 'B_NL']",0.6370396078933801,0.7572089601744404
LATIN,04fba104-7b02-41d5-bfda-04b18e6c7375,Carl,Edwards,W_NL,B_NL,6.200346957337238,"['B_NL', 'W_NL', 'HL', 'A']",0.6813121973776092,0.9605515145757685
LATIN,8b80ed3f-34b0-491f-a83c-5548f48c06be,Akil,Baddoo,A,B_NL,8.531260374942953,"['B_NL', 'A', 'W_NL', 'HL']",0.7624884493916155,0.9115831081906506
LATIN,b348cef3-8332-40f6-9e1c-f4dd5e733db5,Yoshi,Tsutsugo,B_NL,A,22.518560027507153,"['A', 'B_NL', 'HL', 'W_NL']",0.9400293525477937,0.9772757129750019
LATIN,023b165a-a801-4114-9ecb-b7802a54c698,Sean,Bouchard,B_NL,W_NL,10.058776459398308,"['W_NL', 'B_NL', 'A', 'HL']",0.8062671282591161,0.9394399251572508
LATIN,b989cf8b-d73f-4437-ba3d-2c7017740682,Jordan,Holloway,W_NL,B_NL,0.6457888868372873,"['B_NL', 'W_NL', 'HL', 'A']",0.44071014581600143,0.9390629284767575
LATIN,1faa028e-c8c2-4269-801a-14f1c9211f0c,Steven,Kwan,W_NL,A,28.417682277483745,"['A', 'W_NL', 'B_NL', 'HL']",0.9455464767998211,0.9759429421117378
LATIN,cbd1a302-b621-4916-bde4-7e94e2f5193e,Nick,Duron,W_NL,HL,8.526879033515403,"['HL', 'W_NL', 'B_NL', 'A']",0.762414506458465,0.8523976192234309
LATIN,625ec6ab-c3bd-4186-a5ca-683844fe7b24,Sam,Huff,B_NL,W_NL,9.497490805191251,"['W_NL', 'B_NL', 'A', 'HL']",0.7948312652632216,0.8849363108041818
LATIN,4e481c05-367f-49f9-a6a6-7b8ebe10ef0c,Ronel,Blanco,W_NL,HL,24.55417912165334,"['HL', 'W_NL', 'B_NL', 'A']",0.9423763579050188,0.9689267940767456
LATIN,85eb2973-e4e1-44f8-9609-c77834ccfaf4,Ha-Seong,Kim,B_NL,A,53.53115270769662,"['A', 'B_NL', 'W_NL', 'HL']",0.9727340270379703,0.9868888242142025
LATIN,c0319544-e70e-4841-a1da-e2093b889cc7,Corey,Knebel,B_NL,W_NL,18.961049080280127,"['W_NL', 'B_NL', 'A', 'HL']",0.9273874806406498,0.9505931862615592
LATIN,2bf0231b-af7b-4179-8a9c-d789e0f0d54d,Travis,Jankowski,A,W_NL,22.706206728962027,"['W_NL', 'A', 'B_NL', 'HL']",0.9404912300787599,0.9697489026748299
LATIN,dbfc5f99-330e-4fa5-84c3-bce42e5eea51,Sam,Selman,B_NL,W_NL,10.871610972726595,"['W_NL', 'B_NL', 'A', 'HL']",0.8285080222559896,0.9059134413137944
LATIN,39e5abd1-4c06-4a10-8e58-564343c6e306,Kendall,Graveman,B_NL,W_NL,5.485553861480415,"['W_NL', 'B_NL', 'HL', 'A']",0.6580178658155776,0.9340986225194273
LATIN,da49f003-db76-4bc8-9bea-a3d8b21d7d2f,Jurickson,Profar,A,W_NL,3.7710920525199283,"['W_NL', 'A', 'B_NL', 'HL']",0.5866659443818966,0.8019604912842495
LATIN,8e6900d5-5aff-44ba-928e-5069275d15e1,Gavin,Sheets,B_NL,W_NL,14.983924907391232,"['W_NL', 'B_NL', 'A', 'HL']",0.8964518585308395,0.9168406719470635
LATIN,7a3e9bbf-7fd7-45fd-adce-129b3d36b6f6,Cam,Alldred,W_NL,A,9.90585834269322,"['A', 'W_NL', 'B_NL', 'HL']",0.803757461418157,0.8823210510023248
