First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground_Truth
Ryan_Burr,,0.999963284,2.95E-08,8.17E-06,2.86E-05,White,White
Ryan_Castellani,,0.999556601,1.94E-08,4.93E-06,0.000438433,White,White
Ryan_Feltner,,0.539408445,0.000295865,0.002256538,0.458039177,White,White
Ryan_Helsley,,0.733086765,3.85E-05,0.001563208,0.265311414,White,White
Ryan_Hendrix,,0.882460713,6.85E-05,0.000706898,0.116763968,White,White
Ryan_Jeffers,,0.999456823,1.34E-08,2.80E-06,0.000540434,White,White
Ryan_Kreidler,,0.640372753,5.43E-05,0.00930319,0.350269653,White,White
Ryan_McKenna,,0.498518467,0.000179629,0.003711221,0.497590646,White,White
Ryan_McMahon,,0.996400118,3.87E-07,1.72E-05,0.003582183,White,White
Ryan_Mountcastle,,0.998707891,2.97E-07,1.56E-05,0.001276199,White,White
Ryan_O'Hearn,,0.991059124,2.65E-06,0.000125599,0.008812632,White,White
Ryan_Pepiot,,0.99911207,1.35E-07,3.37E-05,0.000854113,White,White
Ryan_Pressly,,0.999549568,1.09E-07,1.12E-05,0.000438948,White,White
Ryan_Tepera,,0.322492719,0.002248984,0.258178829,0.417079493,Other,White
Ryan_Thompson,,0.312944412,2.74E-06,0.000494545,0.686558309,Other,White
Ryan_Weathers,,0.999757111,3.85E-08,9.40E-06,0.000233402,White,White
Ryan_Weber,,0.998668432,4.54E-07,4.89E-05,0.001282306,White,White
Ryan_Yarbrough,,0.99919337,1.49E-07,0.000369347,0.00043714,White,White
Rylan_Bannon,,0.999825299,1.14E-07,7.99E-06,0.000166683,White,White
Ryne_Nelson,,0.999435604,8.31E-08,9.91E-06,0.000554525,White,White
Ryne_Stanek,,0.999732196,3.02E-08,4.75E-06,0.000263078,White,White
Salvador_Perez,,0.001709881,0.361548424,0.57751221,0.05922944,Asian,Other
Sam_Clay,,0.999081254,1.27E-06,0.000168892,0.000748629,White,White
Sam_Coonrod,,0.999697924,6.57E-07,1.22E-05,0.000289154,White,White
Sam_Haggerty,,0.264300674,0.000254921,0.003568945,0.731875492,Other,White
Sam_Hentges,,0.951764882,3.41E-05,0.000280319,0.047920738,White,White
Sam_Hilliard,,0.991828322,1.20E-06,8.92E-05,0.008081175,White,White
Sam_Howard,,0.964728653,0.001439327,0.001328713,0.032503243,White,White
Sam_Huff,,0.992679715,1.33E-06,0.000152595,0.007166402,White,White
Sam_Long,,0.936009943,1.95E-05,0.001191571,0.062779011,White,White
Sam_Moll,,0.951860309,5.56E-06,0.000250675,0.047883441,White,White
Sam_Selman,,0.998898625,8.22E-08,5.81E-06,0.001095428,White,White
Sandy_Alcantara,,0.001090785,0.010169067,0.897853228,0.090886843,Asian,Black
Sandy_Leon,,0.193421468,0.040747557,0.022462286,0.743368737,Other,Other
Santiago_Espinal,,0.008143426,0.095104411,0.321701936,0.575050255,Other,Black
Scott_Alexander,,0.513204873,9.50E-05,0.050374248,0.436325744,White,White
Scott_Barlow,,0.996327221,1.11E-07,1.37E-05,0.003658992,White,White
Scott_Effross,,0.853415191,4.36E-06,0.001470225,0.145110287,White,White
Scott_Kingery,,0.874741077,1.46E-05,0.001993984,0.123250285,White,White
Sean_Bouchard,,0.807386756,2.26E-05,0.00334161,0.189248952,White,White
Sean_Doolittle,,0.967110038,3.75E-05,0.007729681,0.025122891,White,White
Sean_Hjelle,,0.999598563,3.95E-08,2.77E-06,0.000398666,White,White
Sean_Manaea,,0.032294489,0.002022545,0.596852199,0.368830759,Asian,Other
Sean_Murphy,,0.999934316,6.36E-08,1.21E-05,5.35E-05,White,White
Sean_Newcomb,,0.999835134,4.55E-08,2.98E-06,0.00016192,White,White
Sean_Poppen,,0.999778211,2.44E-08,3.43E-06,0.000218355,White,White
Sean_Reid-Foley,,0.99794358,6.36E-07,3.92E-05,0.002016551,White,White
Sebastian_Rivero,,0.259873956,7.37E-05,0.012918145,0.72713426,Other,Other
Seby_Zavala,,0.274000287,0.000406219,0.004747885,0.720845614,Other,Other
Seiya_Suzuki,,0.000339968,4.20E-06,0.998969523,0.000686372,Asian,Asian
Seranthony_Domínguez,,0.000678221,0.629205763,0.26301186,0.107104087,Black,Black
Sergio_Alcántara,,3.04E-05,0.075362273,0.920035613,0.004571861,Asian,Other
Sergio_Romo,,0.055783324,0.003310292,0.556670367,0.384236023,Asian,Other
Seth_Beer,,0.999602616,2.27E-07,1.43E-05,0.000382883,White,White
Seth_Brown,,0.999655843,2.42E-07,3.47E-05,0.000309289,White,White
Seth_Lugo,,0.922680199,6.00E-06,0.000791207,0.076522615,White,White
Seth_Martinez,,0.557126105,0.00010074,0.004957751,0.437815432,White,Other
Shane_Baz,,0.993836462,1.85E-06,0.000722392,0.005439253,White,White
Shane_Bieber,,0.966241717,1.93E-06,9.00E-05,0.033666301,White,White
Shane_Greene,,0.998589098,2.84E-07,7.90E-05,0.001331607,White,White
Shane_McClanahan,,0.852072358,9.78E-06,0.0010929,0.146824963,White,White
Shaun_Anderson,,0.994623899,8.04E-06,0.000825372,0.004542716,White,White
Shawn_Armstrong,,0.995656013,5.44E-07,2.49E-05,0.004318479,White,White
Shea_Langeliers,,0.999237061,2.61E-07,2.06E-05,0.000741982,White,White
Shelby_Miller,,0.986916065,1.03E-05,0.000727431,0.012346142,White,White
Sheldon_Neuse,,0.998937905,5.87E-07,5.12E-05,0.001010183,White,White
Shohei_Ohtani,,0.002536753,9.86E-05,0.988635907,0.008728678,Asian,Asian
Silvino_Bracho,,0.112153813,0.00096515,0.021168353,0.865712658,Other,Other
Simeon_Woods Richardson,,0.012485311,0.019828312,0.077529093,0.890157289,Other,Other
Skye_Bolt,,0.998081803,6.65E-06,8.17E-05,0.001829903,White,White
Sonny_Gray,,0.9978351,3.06E-07,0.000135821,0.002028792,White,White
Spencer_Howard,,0.993534327,1.87E-06,9.25E-05,0.006371362,White,White
Spencer_Patton,,0.998638809,5.29E-07,1.19E-05,0.001348696,White,White
Spencer_Steer,,0.996097922,8.50E-07,0.000108882,0.003792281,White,White
Spencer_Strider,,0.994109035,6.27E-08,2.17E-05,0.00586924,White,White
Spencer_Torkelson,,0.999879479,4.21E-08,1.14E-05,0.000109152,White,White
Spenser_Watkins,,0.884756863,2.09E-05,0.001044067,0.114178153,White,White
Starling_Marte,,1.56E-06,0.999853253,7.34E-05,7.18E-05,Black,Black
Steele_Walker,,0.984474301,2.63E-06,0.000138836,0.015384269,White,White
Stephen_Nogosek,,0.790483952,0.000121201,0.001122852,0.208271902,White,White
Stephen_Piscotty,,0.991311789,4.21E-06,0.000302381,0.008381635,White,White
Stephen_Strasburg,,0.997124851,2.92E-06,0.000101014,0.00277116,White,White
Stephen_Vogt,,0.493962526,0.000108677,0.004010518,0.501918219,Other,White
Steven_Brault,,0.833322883,2.44E-05,0.096889565,0.06976313,White,White
Steven_Duggar,,0.978578269,5.88E-07,8.63E-05,0.021334853,White,White
Steven_Kwan,,0.000906005,2.17E-05,0.99403091,0.005041367,Asian,Asian
Steven_Matz,,0.788836122,1.73E-05,0.001553455,0.20959314,White,White
Steven_Okert,,0.97161746,1.51E-05,0.006344014,0.022023493,White,White
Steven_Souza Jr.,,0.999942064,3.39E-08,2.63E-06,5.53E-05,White,White
Steven_Wilson,,0.999921322,8.03E-08,9.86E-06,6.87E-05,White,White
Steve_Cishek,,0.017254151,8.33E-05,0.753447009,0.229215562,Asian,White
Stone_Garrett,,5.48E-05,0.98470819,0.006104326,0.009132734,Black,Black
Stuart_Fairchild,,0.005914869,4.52E-05,0.965801261,0.028238724,Asian,White
Símon_Muzziotti,,0.008054147,0.000536007,0.923596773,0.067812977,Asian,White
T.J._McFarland,,0.850992382,5.80E-05,0.004500473,0.144449234,White,White
T.J._Zeuch,,0.987243474,2.00E-06,0.009839145,0.002915355,White,White
Taijuan_Walker,,0.015874946,0.304678708,0.246708415,0.43273792,Other,Other
Tanner_Banks,,0.964475453,4.79E-07,5.83E-05,0.035465857,White,White
Tanner_Houck,,0.994479418,4.95E-06,0.000410391,0.005105249,White,White
Tanner_Rainey,,0.982171059,1.19E-06,5.56E-05,0.017772187,White,White
Tanner_Scott,,0.611430466,0.00021109,0.017204517,0.371153867,White,White
Tanner_Tully,,0.926877677,9.73E-06,0.001007937,0.072104733,White,White
Tarik_Skubal,,0.990474284,3.32E-07,0.000109859,0.009415594,White,White
Tayler_Saucedo,,0.653066754,0.000719825,0.010503747,0.335709691,White,White
Tayler_Scott,,0.927619219,4.31E-06,0.000475762,0.071900661,White,White
Taylor_Clarke,,0.999068201,1.56E-07,8.77E-06,0.000922851,White,White
Taylor_Hearn,,4.95E-07,0.997535706,0.002420666,4.31E-05,Black,Black
Taylor_Jones,,0.066011056,0.043580867,0.016702338,0.873705741,Other,Other
Taylor_Motter,,0.999432266,2.73E-07,4.39E-06,0.000563044,White,White
Taylor_Rogers,,0.982055485,1.20E-06,0.000165838,0.017777528,White,White
Taylor_Trammell,,1.08E-05,0.992549658,0.006637733,0.000801788,Black,Black
Taylor_Walls,,0.999671459,5.99E-08,1.15E-05,0.000317034,White,White
Taylor_Ward,,0.963942647,6.83E-05,0.000751148,0.035237849,White,White
Taylor_Widener,,0.994629741,1.65E-06,0.000142283,0.005226354,White,White
Teoscar_Hernández,,2.39E-05,0.98242873,0.012516889,0.005030583,Black,Black
Terrance_Gore,,2.67E-06,0.997390449,0.001077112,0.001529655,Black,Black
Terrin_Vavra,,0.967996478,1.36E-06,0.000145962,0.031856223,White,White
Thairo_Estrada,,0.011822713,0.002653729,0.72332053,0.262203049,Asian,Other
Thomas_Hatch,,0.32488215,0.000446464,0.002288265,0.672383164,Other,White
Thomas_Szapucki,,0.939136147,6.76E-07,0.0014174,0.059445822,White,White
Tim_Anderson,,9.22E-07,0.999316573,0.000551722,0.000130806,Black,Black
Tim_Beckham,,2.05E-05,0.989441037,0.009257544,0.001280977,Black,Black
Tim_Hill,,0.998377323,3.38E-07,3.06E-05,0.001591686,White,White
Tim_Locastro,,0.896579564,8.86E-06,0.000344737,0.103066795,White,White
Tim_Mayza,,0.997828424,2.16E-07,1.50E-05,0.002156398,White,White
TJ_Friedl,,0.990832388,6.18E-06,0.000271367,0.00889008,White,White
Tommy_Edman,,0.42150557,0.000301237,0.129508478,0.448684677,Other,White
Tommy_Henry,,0.998776019,3.32E-07,3.37E-05,0.001189888,White,White
Tommy_Hunter,,0.998451233,1.88E-06,2.18E-05,0.001525065,White,White
Tommy_Kahnle,,0.926401675,5.64E-06,0.000884847,0.072707829,White,White
Tommy_La Stella,,0.544081092,0.001021275,0.015403025,0.439494587,White,White
Tommy_Milone,,0.034327529,0.00094333,0.006465458,0.958263715,Other,White
Tommy_Nance,,0.969484031,1.14E-05,0.001707969,0.028796555,White,White
Tommy_Pham,,0.000312305,0.987484634,0.001063173,0.011139853,Black,Other
Tommy_Romero,,0.877257288,0.000185946,0.000975077,0.121581713,White,White
Tom_Murphy,,0.999879241,2.50E-08,1.13E-06,0.000119575,White,White
Tomás_Nido,,0.04104938,0.724600971,0.150846764,0.083502917,Black,White
Tony_Gonsolin,,0.824270368,2.60E-05,0.008117493,0.167586118,White,White
Tony_Kemp,,0.000992563,0.666961849,0.260186675,0.071858894,Black,Black
Tony_Santillan,,0.001071517,0.199274004,0.51110104,0.288553439,Asian,Other
Tony_Wolters,,0.584656596,1.16E-05,0.001574865,0.413756933,White,White
Touki_Toussaint,,1.70E-07,0.999977946,1.83E-05,3.46E-06,Black,Black
Travis_Blankenhorn,,0.999300838,3.22E-07,1.19E-05,0.000686928,White,White
Travis_d'Arnaud,,0.606151164,2.69E-05,0.010241683,0.383580224,White,White
Travis_Demeritte,,1.62E-07,0.999920845,6.92E-05,9.84E-06,Black,Black
Travis_Jankowski,,0.997012377,3.82E-07,2.82E-05,0.002959003,White,White
Travis_Lakins Sr.,,0.999274552,2.21E-07,6.56E-05,0.000659609,White,White
Travis_Shaw,,0.808096647,5.80E-06,0.000313793,0.191583737,White,White
Travis_Swaggerty,,0.908838272,3.41E-05,0.003850412,0.087277228,White,White
Trayce_Thompson,,0.991089106,1.01E-05,7.53E-05,0.008825491,White,White
Trea_Turner,,0.979258657,0.000118094,0.001011766,0.019611353,White,White
Trent_Grisham,,0.012429311,0.017789254,0.006134133,0.963647297,Other,White
Trent_Thornton,,0.996869028,1.22E-06,4.69E-05,0.003082886,White,White
Tres_Barrera,,0.616898656,4.42E-05,0.00201715,0.381039991,White,White
Trevor_Gott,,0.995773613,7.52E-07,7.98E-05,0.00414578,White,White
Trevor_Kelley,,0.979366839,2.03E-06,5.84E-05,0.020572613,White,White
Trevor_Larnach,,0.797074199,6.17E-06,0.002395479,0.200524203,White,White
Trevor_May,,0.999277413,6.75E-07,1.54E-05,0.00070655,White,White
Trevor_Megill,,0.998106241,7.34E-07,0.000798504,0.001094461,White,White
Trevor_Richards,,0.999325514,6.86E-07,6.47E-05,0.000609174,White,White
Trevor_Rogers,,0.921944797,9.30E-06,0.00195029,0.076095587,White,White
Trevor_Stephan,,0.94853574,4.10E-06,0.000126943,0.051333258,White,White
Trevor_Story,,0.997003019,3.79E-07,1.71E-05,0.002979435,White,White
Trevor_Williams,,0.915668547,0.000109975,0.0021435,0.08207795,White,White
Trey_Mancini,,0.678931892,0.00018409,0.00117653,0.319707532,White,White
Triston_Casas,,0.667294979,0.000225199,0.002158834,0.330320989,White,White
Triston_McKenzie,,2.25E-06,0.999691129,0.000218025,8.86E-05,Black,Black
Tucker_Barnhart,,0.989914894,2.34E-05,0.000113556,0.009948184,White,White
Tucker_Davidson,,0.94821769,2.39E-06,0.000283046,0.051496873,White,White
Tucupita_Marcano,,0.054010231,0.003259162,0.040383051,0.902347628,Other,Other
Tyler_Alexander,,0.99932611,8.84E-08,6.38E-06,0.000667372,White,White
Tyler_Anderson,,0.956893086,1.09E-05,0.000584023,0.042511944,White,White
Tyler_Beede,,0.960678935,4.35E-06,0.000404972,0.038911778,White,White
