Name,First_name,Last_name,Href,Player_headshot
Blake Snell,Blake,Snell,/player/blake-snell-605483,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/605483/headshot/67/current"
Collin Snider,Collin,Snider,/player/collin-snider-676092,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676092/headshot/67/current"
Nick Snyder,Nick,Snyder,/player/nick-snyder-676766,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676766/headshot/67/current"
Nick Solak,Nick,Solak,/player/nick-solak-669256,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669256/headshot/67/current"
Donovan Solano,Donovan,Solano,/player/donovan-solano-456781,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/456781/headshot/67/current"
Jorge Soler,Jorge,Soler,/player/jorge-soler-624585,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/624585/headshot/67/current"
Jared Solomon,Jared,Solomon,/player/jared-solomon-676660,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676660/headshot/67/current"
Edmundo Sosa,Edmundo,Sosa,/player/edmundo-sosa-624641,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/624641/headshot/67/current"
Lenyn Sosa,Lenyn,Sosa,/player/lenyn-sosa-672820,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/672820/headshot/67/current"
Gregory Soto,Gregory,Soto,/player/gregory-soto-642397,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642397/headshot/67/current"
Juan Soto,Juan,Soto,/player/juan-soto-665742,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/665742/headshot/67/current"
Livan Soto,Livan,Soto,/player/livan-soto-670869,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/670869/headshot/67/current"
Bennett Sousa,Bennett,Sousa,/player/bennett-sousa-656986,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656986/headshot/67/current"
Steven Souza Jr.,Steven,Souza Jr.,/player/steven-souza-jr-519306,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/519306/headshot/67/current"
Cory Spangenberg,Cory,Spangenberg,/player/cory-spangenberg-605486,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/605486/headshot/67/current"
Gabe Speier,Gabe,Speier,/player/gabe-speier-642100,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/642100/headshot/67/current"
George Springer,George,Springer,/player/george-springer-543807,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543807/headshot/67/current"
Jeffrey Springs,Jeffrey,Springs,/player/jeffrey-springs-605488,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/605488/headshot/67/current"
Locke St. John,Locke,St. John,/player/locke-st-john-657766,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/657766/headshot/67/current"
Jacob Stallings,Jacob,Stallings,/player/jacob-stallings-607732,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/607732/headshot/67/current"
Craig Stammen,Craig,Stammen,/player/craig-stammen-489334,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/489334/headshot/67/current"
Ryne Stanek,Ryne,Stanek,/player/ryne-stanek-592773,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592773/headshot/67/current"
Giancarlo Stanton,Giancarlo,Stanton,/player/giancarlo-stanton-519317,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/519317/headshot/67/current"
Cody Stashak,Cody,Stashak,/player/cody-stashak-664054,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664054/headshot/67/current"
Max Stassi,Max,Stassi,/player/max-stassi-545358,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/545358/headshot/67/current"
