Name,First_name,Last_name,Href,Player_headshot
Carl Edwards Jr.,Carl,Edwards Jr.,/player/carl-edwards-jr-605218,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/605218/headshot/67/current"
Scott Effross,Scott,Effross,/player/scott-effross-664123,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/664123/headshot/67/current"
Zach Eflin,Zach,Eflin,/player/zach-eflin-621107,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/621107/headshot/67/current"
Jerad Eickhoff,Jerad,Eickhoff,/player/jerad-eickhoff-595191,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/595191/headshot/67/current"
Bryce Elder,Bryce,Elder,/player/bryce-elder-693821,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/693821/headshot/67/current"
Roenis Elías,Roenis,Elías,/player/roenis-elias-606273,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606273/headshot/67/current"
Chris Ellis,Chris,Ellis,/player/chris-ellis-595939,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/595939/headshot/67/current"
Drew Ellis,Drew,Ellis,/player/drew-ellis-656403,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656403/headshot/67/current"
Jerar Encarnación,Jerar,Encarnación,/player/jerar-encarnacion-666464,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/666464/headshot/67/current"
Adam Engel,Adam,Engel,/player/adam-engel-641553,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/641553/headshot/67/current"
Nathan Eovaldi,Nathan,Eovaldi,/player/nathan-eovaldi-543135,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/543135/headshot/67/current"
Robbie Erlin,Robbie,Erlin,/player/robbie-erlin-572362,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/572362/headshot/67/current"
